card_1,card_2,card_1_W,card_1_L,Games Played,card_1_overall_rating,card_1_matchup_rating
Barbarian Hut,The Log,2,4,6,0.8078,0.4027
Barbarian Hut,Tombstone,9,3,12,0.8078,0.791
Barbarian Hut,Vines,1,0,1,0.8078,0.576
Barbarian Hut,Witch,2,0,2,0.8078,0.625
Barbarian Hut,Wizard,1,0,1,0.8078,0.576
Barbarian Hut,X-Bow,1,0,1,0.8078,0.576
Barbarian Hut,Zappies,0,0,0,0.8078,0.5625
Berserker,Baby Dragon,0,1,1,0.3757,0.567
Berserker,Barbarian Hut,0,0,0,0.3757,0.5625
Berserker,Dart Goblin,0,0,0,0.3757,0.5625
Berserker,Electro Spirit,0,3,3,0.3757,0.4392
Berserker,Electro Wizard,0,1,1,0.3757,0.567
Berserker,Elixir Golem,0,0,0,0.3757,0.5625
Berserker,Executioner,0,0,0,0.3757,0.5625
Berserker,Fireball,1,1,2,0.3757,0.4861
Berserker,Fisherman,0,0,0,0.3757,0.5625
Berserker,Flying Machine,0,1,1,0.3757,0.567
Berserker,Furnace,0,0,0,0.3757,0.5625
Berserker,Giant,0,0,0,0.3757,0.5625
Berserker,Giant Snowball,0,0,0,0.3757,0.5625
Berserker,Goblin Barrel,1,1,2,0.3757,0.4861
Berserker,Goblin Demolisher,1,1,2,0.3757,0.4861
Berserker,Goblin Drill,0,0,0,0.3757,0.5625
Berserker,Goblin Giant,0,0,0,0.3757,0.5625
Berserker,Goblin Hut,0,5,5,0.3757,0.3898
Berserker,Golem,0,2,2,0.3757,0.4861
Berserker,Graveyard,0,0,0,0.3757,0.5625
Berserker,Hunter,1,0,1,0.3757,0.576
Berserker,Ice Spirit,1,3,4,0.3757,0.4097
Berserker,Ice Wizard,0,0,0,0.3757,0.5625
Berserker,Inferno Tower,0,0,0,0.3757,0.5625
Berserker,Knight,1,3,4,0.3757,0.4097
Berserker,Lava Hound,0,0,0,0.3757,0.5625
Berserker,Mega Knight,0,0,0,0.3757,0.5625
Berserker,Mortar,1,0,1,0.3757,0.576
Berserker,Mother Witch,0,0,0,0.3757,0.5625
Berserker,Musketeer,0,4,4,0.3757,0.4097
Berserker,Night Witch,0,0,0,0.3757,0.5625
Berserker,P.E.K.K.A,0,0,0,0.3757,0.5625
Berserker,Poison,0,3,3,0.3757,0.4392
Berserker,Princess,0,0,0,0.3757,0.5625
Berserker,Rage,0,0,0,0.3757,0.5625
Berserker,Ram Rider,0,0,0,0.3757,0.5625
Berserker,Rascals,0,1,1,0.3757,0.567
Berserker,Rocket,0,0,0,0.3757,0.5625
Berserker,Royal Delivery,0,0,0,0.3757,0.5625
Berserker,Royal Giant,0,1,1,0.3757,0.567
Berserker,Rune Giant,0,0,0,0.3757,0.5625
Berserker,Suspicious Bush,0,2,2,0.3757,0.4861
Berserker,The Log,1,3,4,0.3757,0.4097
Berserker,Tombstone,0,0,0,0.3757,0.5625
Berserker,Vines,0,2,2,0.3757,0.4861
Berserker,Witch,0,1,1,0.3757,0.567
Berserker,Wizard,0,0,0,0.3757,0.5625
Berserker,X-Bow,0,1,1,0.3757,0.567
Berserker,Zappies,0,0,0,0.3757,0.5625
Dart Goblin,Baby Dragon,0,3,3,0.4138,0.4392
Dart Goblin,Barbarian Hut,1,1,2,0.4138,0.4861
Dart Goblin,Berserker,0,0,0,0.4138,0.5625
Dart Goblin,Electro Spirit,3,4,7,0.4138,0.4714
Dart Goblin,Electro Wizard,0,2,2,0.4138,0.4861
Dart Goblin,Elixir Golem,0,0,0,0.4138,0.5625
Dart Goblin,Executioner,0,3,3,0.4138,0.4392
Dart Goblin,Fireball,4,4,8,0.4138,0.5882
Dart Goblin,Fisherman,0,0,0,0.4138,0.5625
Dart Goblin,Flying Machine,3,2,5,0.4138,0.6321
Dart Goblin,Furnace,1,0,1,0.4138,0.576
Dart Goblin,Giant,1,1,2,0.4138,0.4861
Dart Goblin,Giant Snowball,1,0,1,0.4138,0.576
Dart Goblin,Goblin Barrel,3,6,9,0.4138,0.379
Dart Goblin,Goblin Demolisher,1,1,2,0.4138,0.4861
Dart Goblin,Goblin Drill,0,0,0,0.4138,0.5625
Dart Goblin,Goblin Giant,0,2,2,0.4138,0.4861
Dart Goblin,Goblin Hut,2,7,9,0.4138,0.3506
Dart Goblin,Golem,0,2,2,0.4138,0.4861
Dart Goblin,Graveyard,2,5,7,0.4138,0.3651
Dart Goblin,Hunter,0,0,0,0.4138,0.5625
Dart Goblin,Ice Spirit,5,3,8,0.4138,0.6932
Dart Goblin,Ice Wizard,0,0,0,0.4138,0.5625
Dart Goblin,Inferno Tower,0,0,0,0.4138,0.5625
Dart Goblin,Knight,1,4,5,0.4138,0.3898
Dart Goblin,Lava Hound,0,0,0,0.4138,0.5625
Dart Goblin,Mega Knight,1,2,3,0.4138,0.4636
Dart Goblin,Mortar,0,0,0,0.4138,0.5625
Dart Goblin,Mother Witch,0,0,0,0.4138,0.5625
Dart Goblin,Musketeer,4,10,14,0.4138,0.332
Dart Goblin,Night Witch,0,2,2,0.4138,0.4861
Dart Goblin,P.E.K.K.A,1,0,1,0.4138,0.576
Dart Goblin,Poison,1,4,5,0.4138,0.3898
Dart Goblin,Princess,0,1,1,0.4138,0.567
Dart Goblin,Rage,0,0,0,0.4138,0.5625
Dart Goblin,Ram Rider,2,0,2,0.4138,0.625
Dart Goblin,Rascals,7,3,10,0.4138,0.776
Dart Goblin,Rocket,0,0,0,0.4138,0.5625
Dart Goblin,Royal Delivery,3,4,7,0.4138,0.4714
Dart Goblin,Royal Giant,1,0,1,0.4138,0.576
Dart Goblin,Rune Giant,0,1,1,0.4138,0.567
Dart Goblin,Suspicious Bush,5,5,10,0.4138,0.6036
Dart Goblin,The Log,1,6,7,0.4138,0.3651
Dart Goblin,Tombstone,2,3,5,0.4138,0.4688
Dart Goblin,Vines,5,5,10,0.4138,0.6036
Dart Goblin,Witch,1,0,1,0.4138,0.576
Dart Goblin,Wizard,1,0,1,0.4138,0.576
Dart Goblin,X-Bow,1,0,1,0.4138,0.576
Dart Goblin,Zappies,0,0,0,0.4138,0.5625
Electro Spirit,Baby Dragon,4,3,7,0.3892,0.6375
Electro Spirit,Barbarian Hut,1,4,5,0.3892,0.3898
Electro Spirit,Berserker,3,0,3,0.3892,0.6612
Electro Spirit,Dart Goblin,4,3,7,0.3892,0.6375
Electro Spirit,Electro Wizard,1,2,3,0.3892,0.4636
Electro Spirit,Elixir Golem,0,0,0,0.3892,0.5625
Electro Spirit,Executioner,0,2,2,0.3892,0.4861
Electro Spirit,Fireball,6,7,13,0.3892,0.4777
Electro Spirit,Fisherman,0,0,0,0.3892,0.5625
Electro Spirit,Flying Machine,5,5,10,0.3892,0.6036
Electro Spirit,Furnace,0,0,0,0.3892,0.5625
Electro Spirit,Giant,2,1,3,0.3892,0.6367
Electro Spirit,Giant Snowball,0,0,0,0.3892,0.5625
Electro Spirit,Goblin Barrel,4,5,9,0.3892,0.4737
Electro Spirit,Goblin Demolisher,1,2,3,0.3892,0.4636
Electro Spirit,Goblin Drill,0,0,0,0.3892,0.5625
Electro Spirit,Goblin Giant,0,2,2,0.3892,0.4861
Electro Spirit,Goblin Hut,2,6,8,0.3892,0.357
Electro Spirit,Golem,3,1,4,0.3892,0.6891
Electro Spirit,Graveyard,1,6,7,0.3892,0.3651
Electro Spirit,Hunter,1,0,1,0.3892,0.576
Electro Spirit,Ice Spirit,5,8,13,0.3892,0.4096
Electro Spirit,Ice Wizard,0,0,0,0.3892,0.5625
Electro Spirit,Inferno Tower,0,0,0,0.3892,0.5625
Electro Spirit,Knight,4,10,14,0.3892,0.332
Electro Spirit,Lava Hound,0,1,1,0.3892,0.567
Electro Spirit,Mega Knight,0,0,0,0.3892,0.5625
Electro Spirit,Mortar,1,0,1,0.3892,0.576
Electro Spirit,Mother Witch,2,1,3,0.3892,0.6367
Electro Spirit,Musketeer,6,12,18,0.3892,0.355
Electro Spirit,Night Witch,0,1,1,0.3892,0.567
Electro Spirit,P.E.K.K.A,2,1,3,0.3892,0.6367
Electro Spirit,Poison,5,9,14,0.3892,0.383
Electro Spirit,Princess,0,0,0,0.3892,0.5625
Electro Spirit,Rage,0,1,1,0.3892,0.567
Electro Spirit,Ram Rider,0,1,1,0.3892,0.567
Electro Spirit,Rascals,3,7,10,0.3892,0.3455
Electro Spirit,Rocket,0,0,0,0.3892,0.5625
Electro Spirit,Royal Delivery,2,3,5,0.3892,0.4688
Electro Spirit,Royal Giant,1,2,3,0.3892,0.4636
Electro Spirit,Rune Giant,0,1,1,0.3892,0.567
Electro Spirit,Suspicious Bush,4,3,7,0.3892,0.6375
Electro Spirit,The Log,5,11,16,0.3892,0.3391
Electro Spirit,Tombstone,2,9,11,0.3892,0.3412
Electro Spirit,Vines,3,5,8,0.3892,0.42
Electro Spirit,Witch,3,5,8,0.3892,0.42
Electro Spirit,Wizard,1,1,2,0.3892,0.4861
Electro Spirit,X-Bow,1,3,4,0.3892,0.4097
Electro Spirit,Zappies,0,0,0,0.3892,0.5625
Electro Wizard,Baby Dragon,1,1,2,0.4797,0.4861
Electro Wizard,Barbarian Hut,1,3,4,0.4797,0.4097
Electro Wizard,Berserker,1,0,1,0.4797,0.576
Electro Wizard,Dart Goblin,2,0,2,0.4797,0.625
Electro Wizard,Electro Spirit,2,1,3,0.4797,0.6367
Electro Wizard,Elixir Golem,0,0,0,0.4797,0.5625
Electro Wizard,Executioner,1,2,3,0.4797,0.4636
Electro Wizard,Fireball,4,5,9,0.4797,0.4737
Electro Wizard,Fisherman,0,0,0,0.4797,0.5625
Electro Wizard,Flying Machine,2,2,4,0.4797,0.5359
Electro Wizard,Furnace,1,0,1,0.4797,0.576
Electro Wizard,Giant,1,0,1,0.4797,0.576
Electro Wizard,Giant Snowball,0,0,0,0.4797,0.5625
Electro Wizard,Goblin Barrel,2,3,5,0.4797,0.4688
Electro Wizard,Goblin Demolisher,0,0,0,0.4797,0.5625
Electro Wizard,Goblin Drill,0,0,0,0.4797,0.5625
Electro Wizard,Goblin Giant,0,0,0,0.4797,0.5625
Electro Wizard,Goblin Hut,3,2,5,0.4797,0.6321
Electro Wizard,Golem,1,1,2,0.4797,0.4861
Electro Wizard,Graveyard,2,2,4,0.4797,0.5359
Electro Wizard,Hunter,0,0,0,0.4797,0.5625
Electro Wizard,Ice Spirit,2,0,2,0.4797,0.625
Electro Wizard,Ice Wizard,0,0,0,0.4797,0.5625
Electro Wizard,Inferno Tower,0,0,0,0.4797,0.5625
Electro Wizard,Knight,4,7,11,0.4797,0.3966
Electro Wizard,Lava Hound,0,3,3,0.4797,0.4392
Electro Wizard,Mega Knight,0,1,1,0.4797,0.567
Electro Wizard,Mortar,0,0,0,0.4797,0.5625
Electro Wizard,Mother Witch,1,0,1,0.4797,0.576
Electro Wizard,Musketeer,2,6,8,0.4797,0.357
Electro Wizard,Night Witch,0,1,1,0.4797,0.567
Electro Wizard,P.E.K.K.A,1,1,2,0.4797,0.4861
Electro Wizard,Poison,3,2,5,0.4797,0.6321
Electro Wizard,Princess,1,0,1,0.4797,0.576
Electro Wizard,Rage,0,1,1,0.4797,0.567
Electro Wizard,Ram Rider,0,3,3,0.4797,0.4392
Electro Wizard,Rascals,3,2,5,0.4797,0.6321
Electro Wizard,Rocket,0,0,0,0.4797,0.5625
Electro Wizard,Royal Delivery,1,1,2,0.4797,0.4861
Electro Wizard,Royal Giant,0,0,0,0.4797,0.5625
Electro Wizard,Rune Giant,0,0,0,0.4797,0.5625
Electro Wizard,Suspicious Bush,4,3,7,0.4797,0.6375
Electro Wizard,The Log,2,4,6,0.4797,0.4027
Electro Wizard,Tombstone,2,3,5,0.4797,0.4688
Electro Wizard,Vines,4,3,7,0.4797,0.6375
Electro Wizard,Witch,1,0,1,0.4797,0.576
Electro Wizard,Wizard,0,0,0,0.4797,0.5625
Electro Wizard,X-Bow,1,1,2,0.4797,0.4861
Electro Wizard,Zappies,0,0,0,0.4797,0.5625
Elixir Golem,Baby Dragon,0,0,0,0.567,0.5625
Elixir Golem,Barbarian Hut,0,0,0,0.567,0.5625
Elixir Golem,Berserker,0,0,0,0.567,0.5625
Elixir Golem,Dart Goblin,0,0,0,0.567,0.5625
Elixir Golem,Electro Spirit,0,0,0,0.567,0.5625
Elixir Golem,Electro Wizard,0,0,0,0.567,0.5625
Elixir Golem,Executioner,0,0,0,0.567,0.5625
Elixir Golem,Fireball,0,1,1,0.567,0.567
Elixir Golem,Fisherman,0,0,0,0.567,0.5625
Elixir Golem,Flying Machine,0,0,0,0.567,0.5625
Elixir Golem,Furnace,0,0,0,0.567,0.5625
Elixir Golem,Giant,0,0,0,0.567,0.5625
Elixir Golem,Giant Snowball,0,0,0,0.567,0.5625
Elixir Golem,Goblin Barrel,0,0,0,0.567,0.5625
Elixir Golem,Goblin Demolisher,0,0,0,0.567,0.5625
Elixir Golem,Goblin Drill,0,0,0,0.567,0.5625
Elixir Golem,Goblin Giant,0,0,0,0.567,0.5625
Elixir Golem,Goblin Hut,0,1,1,0.567,0.567
Elixir Golem,Golem,0,0,0,0.567,0.5625
Elixir Golem,Graveyard,0,0,0,0.567,0.5625
Elixir Golem,Hunter,0,0,0,0.567,0.5625
Elixir Golem,Ice Spirit,0,0,0,0.567,0.5625
Elixir Golem,Ice Wizard,0,0,0,0.567,0.5625
Elixir Golem,Inferno Tower,0,0,0,0.567,0.5625
Elixir Golem,Knight,0,1,1,0.567,0.567
Elixir Golem,Lava Hound,0,0,0,0.567,0.5625
Elixir Golem,Mega Knight,0,1,1,0.567,0.567
Elixir Golem,Mortar,0,0,0,0.567,0.5625
Elixir Golem,Mother Witch,0,0,0,0.567,0.5625
Elixir Golem,Musketeer,0,1,1,0.567,0.567
Elixir Golem,Night Witch,0,0,0,0.567,0.5625
Elixir Golem,P.E.K.K.A,0,0,0,0.567,0.5625
Elixir Golem,Poison,0,0,0,0.567,0.5625
Elixir Golem,Princess,0,1,1,0.567,0.567
Elixir Golem,Rage,0,0,0,0.567,0.5625
Elixir Golem,Ram Rider,0,1,1,0.567,0.567
Elixir Golem,Rascals,0,0,0,0.567,0.5625
Elixir Golem,Rocket,0,0,0,0.567,0.5625
Elixir Golem,Royal Delivery,0,0,0,0.567,0.5625
Elixir Golem,Royal Giant,0,0,0,0.567,0.5625
Elixir Golem,Rune Giant,0,0,0,0.567,0.5625
Elixir Golem,Suspicious Bush,0,0,0,0.567,0.5625
Elixir Golem,The Log,0,0,0,0.567,0.5625
Elixir Golem,Tombstone,0,0,0,0.567,0.5625
Elixir Golem,Vines,0,1,1,0.567,0.567
Elixir Golem,Witch,0,0,0,0.567,0.5625
Elixir Golem,Wizard,0,0,0,0.567,0.5625
Elixir Golem,X-Bow,0,0,0,0.567,0.5625
Elixir Golem,Zappies,0,0,0,0.567,0.5625
Executioner,Baby Dragon,2,0,2,0.776,0.625
Executioner,Barbarian Hut,1,0,1,0.776,0.576
Executioner,Berserker,0,0,0,0.776,0.5625
Executioner,Dart Goblin,3,0,3,0.776,0.6612
Executioner,Electro Spirit,2,0,2,0.776,0.625
Executioner,Electro Wizard,2,1,3,0.776,0.6367
Executioner,Elixir Golem,0,0,0,0.776,0.5625
Executioner,Fireball,3,1,4,0.776,0.6891
Executioner,Fisherman,0,0,0,0.776,0.5625
Executioner,Flying Machine,4,0,4,0.776,0.6891
Executioner,Furnace,0,0,0,0.776,0.5625
Executioner,Giant,4,0,4,0.776,0.6891
Executioner,Giant Snowball,0,0,0,0.776,0.5625
Executioner,Goblin Barrel,1,0,1,0.776,0.576
Executioner,Goblin Demolisher,0,0,0,0.776,0.5625
Executioner,Goblin Drill,0,0,0,0.776,0.5625
Executioner,Goblin Giant,0,0,0,0.776,0.5625
Executioner,Goblin Hut,3,0,3,0.776,0.6612
Executioner,Golem,1,0,1,0.776,0.576
Executioner,Graveyard,0,0,0,0.776,0.5625
Executioner,Hunter,0,0,0,0.776,0.5625
Executioner,Ice Spirit,2,2,4,0.776,0.5359
Executioner,Ice Wizard,0,0,0,0.776,0.5625
Executioner,Inferno Tower,0,0,0,0.776,0.5625
Executioner,Knight,4,0,4,0.776,0.6891
Executioner,Lava Hound,1,1,2,0.776,0.4861
Executioner,Mega Knight,1,1,2,0.776,0.4861
Executioner,Mortar,0,0,0,0.776,0.5625
Executioner,Mother Witch,0,0,0,0.776,0.5625
Executioner,Musketeer,3,2,5,0.776,0.6321
Executioner,Night Witch,1,0,1,0.776,0.576
Executioner,P.E.K.K.A,1,0,1,0.776,0.576
Executioner,Poison,5,0,5,0.776,0.7111
Executioner,Princess,0,0,0,0.776,0.5625
Executioner,Rage,0,0,0,0.776,0.5625
Executioner,Ram Rider,3,2,5,0.776,0.6321
Executioner,Rascals,2,0,2,0.776,0.625
Executioner,Rocket,0,0,0,0.776,0.5625
Executioner,Royal Delivery,4,1,5,0.776,0.7111
Executioner,Royal Giant,0,0,0,0.776,0.5625
Executioner,Rune Giant,1,0,1,0.776,0.576
Executioner,Suspicious Bush,2,0,2,0.776,0.625
Executioner,The Log,3,2,5,0.776,0.6321
Executioner,Tombstone,2,2,4,0.776,0.5359
Executioner,Vines,2,1,3,0.776,0.6367
Executioner,Witch,1,0,1,0.776,0.576
Executioner,Wizard,0,0,0,0.776,0.5625
Executioner,X-Bow,0,0,0,0.776,0.5625
Executioner,Zappies,0,0,0,0.776,0.5625
Fireball,Baby Dragon,7,6,13,0.4785,0.6541
Fireball,Barbarian Hut,1,7,8,0.4785,0.357
Fireball,Berserker,1,1,2,0.4785,0.4861
Fireball,Dart Goblin,4,4,8,0.4785,0.5882
Fireball,Electro Spirit,7,6,13,0.4785,0.6541
Fireball,Electro Wizard,5,4,9,0.4785,0.6438
Fireball,Elixir Golem,1,0,1,0.4785,0.576
Fireball,Executioner,1,3,4,0.4785,0.4097
Fireball,Fisherman,1,0,1,0.4785,0.576
Fireball,Flying Machine,6,4,10,0.4785,0.6898
Fireball,Furnace,1,0,1,0.4785,0.576
Fireball,Giant,4,2,6,0.4785,0.702
Fireball,Giant Snowball,2,0,2,0.4785,0.625
Fireball,Goblin Barrel,7,6,13,0.4785,0.6541
Fireball,Goblin Demolisher,0,1,1,0.4785,0.567
Fireball,Goblin Drill,0,0,0,0.4785,0.5625
Fireball,Goblin Giant,1,0,1,0.4785,0.576
Fireball,Goblin Hut,5,8,13,0.4785,0.4096
Fireball,Golem,0,5,5,0.4785,0.3898
Fireball,Graveyard,5,6,11,0.4785,0.4758
Fireball,Hunter,0,0,0,0.4785,0.5625
Fireball,Ice Spirit,7,10,17,0.4785,0.4275
Fireball,Ice Wizard,1,0,1,0.4785,0.576
Fireball,Inferno Tower,1,0,1,0.4785,0.576
Fireball,Knight,9,9,18,0.4785,0.6378
Fireball,Lava Hound,1,2,3,0.4785,0.4636
Fireball,Mega Knight,1,2,3,0.4785,0.4636
Fireball,Mortar,0,0,0,0.4785,0.5625
Fireball,Mother Witch,2,0,2,0.4785,0.625
Fireball,Musketeer,5,13,18,0.4785,0.3246
Fireball,Night Witch,1,2,3,0.4785,0.4636
Fireball,P.E.K.K.A,1,1,2,0.4785,0.4861
Fireball,Poison,7,12,19,0.4785,0.3858
Fireball,Princess,1,1,2,0.4785,0.4861
Fireball,Rage,2,2,4,0.4785,0.5359
Fireball,Ram Rider,5,5,10,0.4785,0.6036
Fireball,Rascals,5,5,10,0.4785,0.6036
Fireball,Rocket,1,0,1,0.4785,0.576
Fireball,Royal Delivery,7,4,11,0.4785,0.7286
Fireball,Royal Giant,1,1,2,0.4785,0.4861
Fireball,Rune Giant,3,1,4,0.4785,0.6891
Fireball,Suspicious Bush,8,5,13,0.4785,0.7223
Fireball,The Log,10,14,24,0.4785,0.4266
Fireball,Tombstone,9,11,20,0.4785,0.4598
Fireball,Vines,8,11,19,0.4785,0.434
Fireball,Witch,3,1,4,0.4785,0.6891
Fireball,Wizard,1,0,1,0.4785,0.576
Fireball,X-Bow,1,1,2,0.4785,0.4861
Fireball,Zappies,0,0,0,0.4785,0.5625
Fisherman,Baby Dragon,0,0,0,0.567,0.5625
Fisherman,Barbarian Hut,0,0,0,0.567,0.5625
Fisherman,Berserker,0,0,0,0.567,0.5625
Fisherman,Dart Goblin,0,0,0,0.567,0.5625
Fisherman,Electro Spirit,0,0,0,0.567,0.5625
Fisherman,Electro Wizard,0,0,0,0.567,0.5625
Fisherman,Elixir Golem,0,0,0,0.567,0.5625
Fisherman,Executioner,0,0,0,0.567,0.5625
Fisherman,Fireball,0,1,1,0.567,0.567
Fisherman,Flying Machine,0,0,0,0.567,0.5625
Fisherman,Furnace,0,0,0,0.567,0.5625
Fisherman,Giant,0,0,0,0.567,0.5625
Fisherman,Giant Snowball,0,0,0,0.567,0.5625
Fisherman,Goblin Barrel,0,0,0,0.567,0.5625
Fisherman,Goblin Demolisher,0,0,0,0.567,0.5625
Fisherman,Goblin Drill,0,0,0,0.567,0.5625
Fisherman,Goblin Giant,0,0,0,0.567,0.5625
Fisherman,Goblin Hut,0,1,1,0.567,0.567
Fisherman,Golem,0,0,0,0.567,0.5625
Fisherman,Graveyard,0,0,0,0.567,0.5625
Fisherman,Hunter,0,0,0,0.567,0.5625
Fisherman,Ice Spirit,0,0,0,0.567,0.5625
Fisherman,Ice Wizard,0,0,0,0.567,0.5625
Fisherman,Inferno Tower,0,0,0,0.567,0.5625
Fisherman,Knight,0,1,1,0.567,0.567
Fisherman,Lava Hound,0,0,0,0.567,0.5625
Fisherman,Mega Knight,0,1,1,0.567,0.567
Fisherman,Mortar,0,0,0,0.567,0.5625
Fisherman,Mother Witch,0,0,0,0.567,0.5625
Fisherman,Musketeer,0,1,1,0.567,0.567
Fisherman,Night Witch,0,0,0,0.567,0.5625
Fisherman,P.E.K.K.A,0,0,0,0.567,0.5625
Fisherman,Poison,0,0,0,0.567,0.5625
Fisherman,Princess,0,1,1,0.567,0.567
Fisherman,Rage,0,0,0,0.567,0.5625
Fisherman,Ram Rider,0,1,1,0.567,0.567
Fisherman,Rascals,0,0,0,0.567,0.5625
Fisherman,Rocket,0,0,0,0.567,0.5625
Fisherman,Royal Delivery,0,0,0,0.567,0.5625
