game_mode,timestamp,1st_pick,2nd_pick,winner,loser,Baby Dragon_W,Barbarian Hut_W,Berserker_W,Dart Goblin_W,Electro Spirit_W,Electro Wizard_W,Elixir Golem_W,Executioner_W,Fireball_W,Fisherman_W,Flying Machine_W,Furnace_W,Giant_W,Giant Snowball_W,Goblin Barrel_W,Goblin Demolisher_W,Goblin Drill_W,Goblin Giant_W,Goblin Hut_W,Golem_W,Graveyard_W,Hunter_W,Ice Spirit_W,Ice Wizard_W,Inferno Tower_W,Knight_W,Lava Hound_W,Mega Knight_W,Mortar_W,Mother Witch_W,Musketeer_W,Night Witch_W,P.E.K.K.A_W,Poison_W,Princess_W,Rage_W,Ram Rider_W,Rascals_W,Rocket_W,Royal Delivery_W,Royal Giant_W,Rune Giant_W,Suspicious Bush_W,The Log_W,Tombstone_W,Vines_W,Witch_W,Wizard_W,X-Bow_W,Zappies_W,Baby Dragon_L,Barbarian Hut_L,Berserker_L,Dart Goblin_L,Electro Spirit_L,Electro Wizard_L,Elixir Golem_L,Executioner_L,Fireball_L,Fisherman_L,Flying Machine_L,Furnace_L,Giant_L,Giant Snowball_L,Goblin Barrel_L,Goblin Demolisher_L,Goblin Drill_L,Goblin Giant_L,Goblin Hut_L,Golem_L,Graveyard_L,Hunter_L,Ice Spirit_L,Ice Wizard_L,Inferno Tower_L,Knight_L,Lava Hound_L,Mega Knight_L,Mortar_L,Mother Witch_L,Musketeer_L,Night Witch_L,P.E.K.K.A_L,Poison_L,Princess_L,Rage_L,Ram Rider_L,Rascals_L,Rocket_L,Royal Delivery_L,Royal Giant_L,Rune Giant_L,Suspicious Bush_L,The Log_L,Tombstone_L,Vines_L,Witch_L,Wizard_L,X-Bow_L,Zappies_L,Baby Dragon_BANNED,Barbarian Hut_BANNED,Berserker_BANNED,Dart Goblin_BANNED,Electro Spirit_BANNED,Electro Wizard_BANNED,Elixir Golem_BANNED,Executioner_BANNED,Fireball_BANNED,Fisherman_BANNED,Flying Machine_BANNED,Furnace_BANNED,Giant_BANNED,Giant Snowball_BANNED,Goblin Barrel_BANNED,Goblin Demolisher_BANNED,Goblin Drill_BANNED,Goblin Giant_BANNED,Goblin Hut_BANNED,Golem_BANNED,Graveyard_BANNED,Hunter_BANNED,Ice Spirit_BANNED,Ice Wizard_BANNED,Inferno Tower_BANNED,Knight_BANNED,Lava Hound_BANNED,Mega Knight_BANNED,Mortar_BANNED,Mother Witch_BANNED,Musketeer_BANNED,Night Witch_BANNED,P.E.K.K.A_BANNED,Poison_BANNED,Princess_BANNED,Rage_BANNED,Ram Rider_BANNED,Rascals_BANNED,Rocket_BANNED,Royal Delivery_BANNED,Royal Giant_BANNED,Rune Giant_BANNED,Suspicious Bush_BANNED,The Log_BANNED,Tombstone_BANNED,Vines_BANNED,Witch_BANNED,Wizard_BANNED,X-Bow_BANNED,Zappies_BANNED,Modifier_1_W,Modifier_2_W,Modifier_3_W,Modifier_4_W,Modifier_5_W,Modifier_1_L,Modifier_2_L,Modifier_3_L,Modifier_4_L,Modifier_5_L
Normal Draft,2026-03-17T03:08:55Z,Andrew,Kevin,Kevin,Andrew,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,R,0,0,0,0,0,R,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,R,0,Tombstone3,BarbarianHut2,Poison2,Berserker1,,Fireball3,Hunter3,GoblinDemolisher2,Mortar1,
Normal Draft,2026-03-17T03:17:57Z,Kevin,Andrew,Andrew,Kevin,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,-1,R,0,0,0,-1,0,0,0,0,0,R,0,0,0,1,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GoblinHut3,Giant2,Musketeer1,Log1,,GoblinBarrel3,Knight2,ElectroSpirit1,Graveyard1,
AI Draft,2026-03-17T06:52:25Z,Andrew,Brooks,Brooks,Andrew,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,AxeMan3,Graveyard2,ElectroWizard1,,,DartBarrell3,Golem2,Pekka1,,
AI Draft,2026-03-17T06:58:02Z,Brooks,Andrew,Brooks,Andrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,R,0,0,0,R,0,-1,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,GoblinDemolisher3,Tombstone2,Graveyard2,,,DartBarrell3,SuspiciousBush2,Musketeer2,,
AI Draft,2026-03-17T07:04:08Z,Andrew,Brooks,Brooks,Andrew,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,R,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,R,0,0,0,0,Knight3,Poison2,Musketeer2,Log1,,GoblinHut3,Golem2,BlowdartGoblin2,ElectroWizard1,
AI Draft,2026-03-17T07:10:39Z,Andrew,Brooks,Brooks,Andrew,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,R,R,0,0,0,0,0,1,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,Knight3,Rascals2,GoblinHut1,ElectroWizard2,,Musketeer3,IceSpirits2,Poison1,Graveyard1,
AI Draft,2026-03-17T07:16:00Z,Andrew,Brooks,Andrew,Brooks,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,0,1,0,0,0,R,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,R,0,IceSpirits3,Graveyard2,Log1,GoblinHut1,,Witch3,Poison2,Musketeer1,BarbarianHut2,
AI Draft,2026-03-17T07:21:22Z,Andrew,Brooks,Andrew,Brooks,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,R,0,0,0,R,0,1,0,0,0,0,0,0,R,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,Log3,Poison2,Tombstone1,Graveyard1,,Fireball3,Golem2,Rascals1,Vines1,
AI Draft,2026-03-17T19:31:49Z,Kevin,Andrew,Kevin,Andrew,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,R,0,1,0,0,0,R,0,0,R,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,Musketeer3,Tombstone2,Poison2,Rascals1,,ElectroSpirit3,DartBarrell2,BabyDragon2,Witch1,
AI Draft,2026-03-17T19:37:09Z,Andrew,Kevin,Andrew,Kevin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,R,R,0,0,0,R,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Golem3,Vines2,Tombstone1,Graveyard1,,ElectroSpirit3,DartBarrell3,GoblinBarrel1,Witch1,
AI Draft,2026-03-17T19:42:46Z,Andrew,Kevin,Andrew,Kevin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,R,0,-1,0,0,0,R,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
AI Draft,2026-03-17T20:07:30Z,Kevin,Andrew,Kevin,Andrew,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,R,0,1,0,0,0,0,0,0,0,R,0,0,0,R,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Knight3,RoyalGiant2,Xbow1,,,DartBarrell3,Berserker2,BabyDragon1,,
AI Draft,2026-03-17T20:13:08Z,Andrew,Kevin,Kevin,Andrew,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,R,0,-1,0,0,0,0,0,0,0,R,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,IceSpirits3,BabyDragon2,Witch1,GoblinBarrel1,,Xbow3,GoblinHut2,Golem1,RoyalGiant1,
AI Draft,2026-03-17T20:19:27Z,Kevin,Andrew,Kevin,Andrew,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,R,0,1,0,0,0,0,0,0,0,R,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,GiantBuffer3,BarbarianHut2,Rascals1,RoyalGiant1,,IceWizard3,DartBarrell2,Witch1,Log1,
AI Draft,2026-03-17T21:35:07Z,Kevin,Brooks,Kevin,Brooks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,0,-1,0,0,0,0,0,0,0,R,0,0,0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
AI Draft,2026-03-17T21:39:44Z,Brooks,Kevin,Kevin,Brooks,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,R,0,-1,0,0,0,R,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,RamRider3,Knight2,Vines1,,,Graveyard3,SuspiciousBush2,Log1,,
AI Draft,2026-03-17T21:47:45Z,Kevin,Andrew,Andrew,Kevin,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,R,0,-1,0,0,0,R,0,0,R,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tombstone3,GoblinDemolisher2,GiantBuffer2,Vines1,Fireball1,GoblinHut3,BabyDragon3,Rascals2,Musketeer1,RamRider1
