modifier_name,total_games_played,Modifier_1_W,Modifier_2_W,Modifier_3_W,Modifier_4_W,Modifier_5_W,Modifier_1_L,Modifier_2_L,Modifier_3_L,Modifier_4_L,Modifier_5_L
Goblin Giant I,2,0,0,2,0,0,0,0,0,0,0
Goblin Giant II,1,0,0,0,0,0,0,1,0,0,0
Goblin Hut I,7,0,0,2,3,1,0,0,1,0,0
Goblin Hut II,11,0,6,2,0,0,1,2,0,0,0
Goblin Hut III,3,1,0,0,0,0,2,0,0,0,0
Golem I,3,0,0,0,1,0,0,0,2,0,0
Golem II,7,0,1,1,0,0,0,3,2,0,0
Golem III,1,1,0,0,0,0,0,0,0,0,0
Graveyard I,4,0,0,0,2,0,0,0,0,2,0
Graveyard II,6,0,4,1,0,0,0,1,0,0,0
Graveyard III,1,0,0,0,0,0,1,0,0,0,0
Hunter III,1,0,0,0,0,0,0,1,0,0,0
Ice Spirit I,2,0,0,0,1,0,0,0,0,1,0
Ice Spirit II,4,0,1,0,0,0,0,2,1,0,0
Ice Spirit III,5,3,0,0,0,0,2,0,0,0,0
Ice Wizard III,1,0,0,0,0,0,1,0,0,0,0
Inferno Tower III,1,0,0,0,0,0,1,0,0,0,0
Knight I,8,0,0,1,0,0,0,0,4,3,0
Knight II,3,1,1,0,0,0,0,1,0,0,0
Knight III,8,8,0,0,0,0,0,0,0,0,0
Lava Hound I,1,0,0,0,0,0,0,0,0,1,0
Lava Hound II,1,0,0,1,0,0,0,0,0,0,0
Lava Hound III,2,1,0,0,0,0,1,0,0,0,0
Mega Knight I,1,0,0,1,0,0,0,0,0,0,0
Mega Knight II,1,0,0,0,0,0,1,0,0,0,0
Mega Knight III,1,0,0,0,0,0,1,0,0,0,0
Mortar I,1,0,0,0,0,0,0,0,0,1,0
Musketeer I,7,0,0,2,3,0,0,0,1,1,0
Musketeer II,9,0,3,3,0,0,0,2,1,0,0
Musketeer III,4,1,0,0,0,0,3,0,0,0,0
Night Witch II,1,0,0,0,0,0,0,0,1,0,0
P.E.K.K.A I,1,0,0,0,0,0,0,0,1,0,0
P.E.K.K.A III,1,1,0,0,0,0,0,0,0,0,0
Poison I,4,0,0,2,0,0,0,0,1,0,1
Poison II,8,0,3,4,0,0,0,1,0,0,0
Poison III,4,1,1,0,0,0,2,0,0,0,0
Princess I,1,0,0,1,0,0,0,0,0,0,0
Princess II,1,0,0,0,0,0,1,0,0,0,0
Princess III,1,1,0,0,0,0,0,0,0,0,0
Rage I,2,0,0,0,1,0,0,0,1,0,0
Ram Rider I,2,0,0,0,1,0,0,0,0,0,1
Ram Rider II,4,1,1,0,0,0,0,1,1,0,0
Ram Rider III,2,1,0,0,0,0,1,0,0,0,0
Rascals I,5,0,0,2,1,0,0,0,1,1,0
Rascals II,2,0,1,0,0,0,0,0,1,0,0
Royal Delivery I,1,0,0,0,0,0,0,0,1,0,0
Royal Delivery II,4,0,0,0,1,0,0,1,1,1,0
Royal Delivery III,4,3,0,0,0,0,1,0,0,0,0
Royal Giant I,3,0,0,0,1,0,0,0,0,2,0
Royal Giant II,1,0,1,0,0,0,0,0,0,0,0
Rune Giant II,1,0,0,1,0,0,0,0,0,0,0
Rune Giant III,3,1,0,0,0,0,0,2,0,0,0
Suspicious Bush I,6,0,0,2,1,0,0,0,1,1,1
Suspicious Bush II,9,0,2,0,0,0,0,6,1,0,0
Suspicious Bush III,1,1,0,0,0,0,0,0,0,0,0
The Log I,11,0,0,2,5,2,0,0,1,1,0
The Log III,5,3,0,0,0,0,1,1,0,0,0
Tombstone I,4,0,0,2,0,0,0,0,0,0,2
Tombstone II,6,0,4,0,0,0,0,0,2,0,0
Tombstone III,3,3,0,0,0,0,0,0,0,0,0
Vines I,8,0,0,1,2,1,0,0,1,3,0
Vines II,3,0,2,0,0,0,0,1,0,0,0
Vines III,4,2,2,0,0,0,0,0,0,0,0
Witch I,5,0,0,1,0,0,0,0,2,2,0
Witch II,1,0,0,0,0,0,0,0,1,0,0
Witch III,2,0,0,0,0,0,2,0,0,0,0
Wizard II,1,0,1,0,0,0,0,0,0,0,0
X-Bow I,3,0,0,1,0,0,0,0,1,1,0
X-Bow III,1,0,0,0,0,0,1,0,0,0,0
